time,close,high,low,open,volume
,GBPJPY=X,GBPJPY=X,GBPJPY=X,GBPJPY=X,GBPJPY=X
1751846400,198.9971160888672,199.41200256347656,198.25,198.5800018310547,0
1752451200,199.55413818359375,199.9600067138672,198.04400634765625,198.74200439453125,0
1753056000,198.9258575439453,199.28199768066406,197.4429931640625,199.11599731445312,0
1753660800,195.74420166015625,199.2760009765625,195.68032836914062,198.6280059814453,0
1754265600,198.63253784179688,198.81723022460938,195.0399932861328,195.79600524902344,0
1754870400,199.39285278320312,200.26400756835938,198.1929931640625,198.49000549316406,0
1755475200,198.04200744628906,200.25999450683594,197.85299682617188,199.62600708007812,0
